Time,Latitude,Longitude,Depth/Km,Magnitude,errorMag
19:44.0,42.6403,13.2362,10.4,3.8,0.433445679
21:53.0,42.6452,13.2237,13,2.3,0.443445679
22:39.6,42.7293,13.2038,10.6,2.8,0.453445679
23:16.9,42.75,13.2458,10.5,3.2,0.463445679
23:40.5,42.8273,13.2442,7.6,3.3,0.473445679
24:43.3,42.6153,13.2673,10.7,3.2,0.483445679
27:17.8,42.6478,13.2547,10,2.8,0.493445679
27:51.4,42.7955,13.2262,6.7,3,0.503445679
28:02.2,42.7977,13.1613,7.7,3.1,0.513445679
28:58.3,42.6197,13.2663,10.7,3.2,0.523445679
30:50.1,42.832,13.1438,8,3.4,0.533445679
31:39.1,42.803,13.231,8.6,3.1,0.543445679
32:29.0,42.8115,13.1438,9.1,2.5,0.553445679
33:28.9,42.7922,13.1507,8,5.4,0.563445679
36:15.9,42.7807,13.1657,9.7,2.8,0.573445679
36:43.6,42.7852,13.1558,10.1,2.9,0.583445679
38:02.5,42.7647,13.1727,9.6,3.1,0.593445679
40:18.1,42.6137,13.3003,9.6,2.8,0.603445679
41:32.8,42.8125,13.1328,9.3,2.5,0.613445679
43:15.0,42.6427,13.2443,9.7,2.9,0.623445679
44:53.6,42.6322,13.2343,9.6,2.8,0.633445679
45:16.7,42.7337,13.2238,9.6,2.7,0.643445679
46:10.4,42.7448,13.186,9.3,3.3,0.653445679
46:26.3,42.7207,13.2028,9.9,3.4,0.663445679
47:07.9,42.7763,13.2077,10.1,2.5,0.673445679
48:08.0,42.6572,13.2307,10.5,2.3,0.683445679
48:53.0,42.8107,13.1538,10.4,3,0.693445679
50:41.3,42.7502,13.1998,8.4,2.9,0.703445679
51:26.3,42.7747,13.225,6.3,3.7,0.713445679
53:20.3,42.7587,13.1497,7.9,2.6,0.723445679
54:14.3,42.7413,13.1878,9.9,3.1,0.733445679
54:28.1,42.7992,13.2163,8.6,3.1,0.743445679
55:39.9,42.6463,13.3087,7.5,3.5,0.753445679
56:53.8,42.6352,13.2502,15.2,2.7,0.763445679
57:35.4,42.8158,13.1763,9.6,2.5,0.773445679
57:52.8,42.8047,13.1733,8.3,3.2,0.783445679
58:36.2,42.7837,13.153,9.7,2.8,0.793445679
59:17.8,42.813,13.1567,9.6,3.3,0.803445679
59:35.2,42.7987,13.1313,6.7,3.9,0.813445679
01:43.5,42.7835,13.2218,6.4,3.1,0.823445679
03:05.0,42.6473,13.2333,9.8,2.2,0.833445679
03:16.5,42.7745,13.1582,7.3,2.1,0.843445679
03:47.0,42.8132,13.1458,9.5,2.3,0.853445679
05:16.9,42.7388,13.1577,9.8,2.6,0.863445679
06:39.0,42.7792,13.1783,9.9,2.5,0.873445679
07:02.2,42.8105,13.1757,10.1,2.1,0.883445679
07:17.2,42.7707,13.1552,9.2,2.8,0.893445679
08:10.9,42.6237,13.2518,10.6,3.7,0.903445679
09:14.9,42.6882,13.2137,9.2,3.7,0.913445679
10:02.3,42.7437,13.1003,8.7,2.6,0.923445679
10:43.6,42.8028,13.1548,10.3,2.7,0.933445679
10:59.9,42.6605,13.2408,9.9,2.4,0.943445679
11:47.5,42.6427,13.23,1.7,3.4,0.953445679
12:58.0,42.7388,13.2697,10.6,2.5,0.963445679
13:10.4,42.706,13.2412,9.1,3.2,0.973445679
15:36.5,42.6542,13.2012,11.4,2.3,0.013445679
15:52.7,42.7335,13.1578,9.1,2.7,0.023445679
16:30.2,42.7222,13.1605,8.2,3.5,0.033445679
17:59.1,42.7588,13.1378,7.8,3.6,0.043445679
18:59.7,42.7788,13.1385,9.5,2.7,0.053445679
19:03.6,42.7862,13.2227,6.6,3.7,0.063445679
20:29.5,42.737,13.1768,10.3,2.8,0.073445679
21:58.3,42.7265,13.2362,9.3,3,0.083445679
22:38.3,42.7718,13.1978,7.1,3.1,0.093445679
24:07.6,42.7858,13.1682,9.6,2.4,0.103445679
25:34.9,42.7537,13.1877,8,2.6,0.113445679
26:14.3,42.7502,13.185,9.1,2.8,0.123445679
27:36.7,42.6418,13.2608,9.5,2.5,0.133445679
28:41.6,42.6862,13.1655,10.8,2,0.143445679
28:58.8,42.7867,13.2315,8.4,2.8,0.153445679
29:35.5,42.7132,13.1935,10.2,2.6,0.163445679
30:43.9,42.7378,13.2042,10.2,2.7,0.173445679
31:24.9,42.7608,13.1682,9.1,2.3,0.183445679
31:46.0,42.7515,13.1542,7.2,2.9,0.193445679
32:21.5,42.6125,13.324,4,2.8,0.203445679
33:39.8,42.8138,13.2222,7.9,2.4,0.213445679
34:21.9,42.6948,13.2417,8.9,2.5,0.223445679
35:04.8,42.7188,13.2133,8.5,2.4,0.233445679
35:33.8,42.822,13.158,9.9,2.5,0.243445679
36:20.0,42.8,13.2262,8.6,2.8,0.253445679
37:40.3,42.7373,13.1542,10.7,2.6,0.263445679
38:50.9,42.6517,13.2508,11.1,2.1,0.273445679
39:24.8,42.6172,13.2568,11.5,3.1,0.283445679
40:10.9,42.6143,13.2437,10.7,4.1,0.293445679
41:49.3,42.7582,13.1085,8,2.5,0.303445679
42:50.2,42.7848,13.2187,6.8,2.8,0.313445679
43:44.8,42.7125,13.1892,10.6,2.6,0.323445679
44:47.9,42.7703,13.1192,11,2.1,0.333445679
45:14.6,42.7397,13.2525,8.8,2.4,0.343445679
45:43.0,42.728,13.1532,8.4,2.8,0.353445679
46:23.5,42.7803,13.147,8.4,2.4,0.363445679
47:04.5,42.8338,13.2247,15,2.3,0.373445679
47:57.0,42.6125,13.257,11.8,2.5,0.383445679
48:25.4,42.6268,13.2732,11.1,2.5,0.393445679
49:28.1,42.7515,13.1957,10,2.8,0.403445679
50:11.3,42.6542,13.2103,9.6,2.8,0.413445679
51:09.8,42.8142,13.1613,9.5,3,0.423445679
52:31.7,42.8277,13.134,8.8,2.2,0.433445679
52:34.7,42.7002,13.2028,9,3.1,0.443445679
53:55.5,42.6632,13.277,6.3,3,0.453445679
54:22.6,42.7922,13.1538,10.3,2.4,0.463445679
54:32.0,42.6393,13.3153,10,2.6,0.473445679
55:20.9,42.7812,13.1477,8.3,2.7,0.483445679
55:38.3,42.7307,13.1848,10.3,3,0.493445679
56:08.4,42.6803,13.2288,6.6,2.4,0.503445679
56:40.5,42.8163,13.2597,10.5,2.1,0.513445679
57:11.1,42.6937,13.1707,10.5,2.5,0.523445679
57:28.7,42.8223,13.1965,10.5,2.6,0.533445679
58:53.5,42.7313,13.2067,9.3,2.2,0.543445679
59:04.5,42.6488,13.2412,8.3,2.6,0.553445679
59:57.5,42.722,13.2188,9.9,3.5,0.563445679
00:51.1,42.7368,13.2312,10.4,3.2,0.573445679
01:52.9,42.7437,13.1967,9.5,2,0.583445679
03:03.3,42.6922,13.2557,8.9,2.4,0.593445679
03:32.6,42.6627,13.2052,9.1,2.8,0.603445679
04:07.2,42.7243,13.1907,10.5,2.2,0.613445679
04:15.9,42.7363,13.2127,10.7,2.2,0.623445679
04:47.5,42.7927,13.1525,8.3,2.4,0.633445679
05:16.1,42.738,13.1662,10.2,2.7,0.643445679
06:51.0,42.771,13.1238,6.2,4.4,0.653445679
10:01.5,42.5248,13.2902,16.6,2.4,0.663445679
12:10.4,42.8052,13.2273,8,2.9,0.673445679
12:57.6,42.5842,13.2728,11.6,2.5,0.683445679
14:07.8,42.8245,13.158,10,2.6,0.693445679
14:16.2,42.7417,13.2448,8.9,2.3,0.703445679
14:46.9,42.7203,13.1728,8.6,2.2,0.713445679
14:51.0,42.7007,13.1898,9.2,2.3,0.723445679
15:18.8,42.813,13.1683,9.6,3.1,0.733445679
15:57.0,42.7192,13.1668,10.2,2.1,0.743445679
16:40.6,42.8212,13.2158,10,2.7,0.753445679
17:32.1,42.6443,13.2262,9.7,2.3,0.763445679
19:13.4,42.7908,13.1187,6.9,2.3,0.773445679
19:38.4,42.837,13.1313,6.1,2.7,0.783445679
22:58.2,42.714,13.2183,10.5,2.1,0.793445679
23:29.9,42.6005,13.2578,11.8,2.1,0.803445679
24:24.5,42.5777,13.2588,11,2.9,0.813445679
24:45.6,42.7818,13.1558,7.5,2.6,0.823445679
25:58.9,42.6353,13.2363,9.7,3.4,0.833445679
26:47.8,42.77,13.1668,9.4,3.5,0.843445679
27:42.1,42.8217,13.1703,8.6,3.1,0.853445679
28:38.6,42.7942,13.1342,8.7,2.7,0.863445679
28:54.1,42.8098,13.1403,6.2,3.1,0.873445679
30:07.8,42.8122,13.2253,9.9,2.7,0.883445679
30:12.6,42.6705,13.2098,10.3,2.9,0.893445679
30:54.0,42.6422,13.2188,9.2,3,0.903445679
31:32.2,42.8168,13.1198,9,2.9,0.913445679
32:14.2,42.6223,13.2502,11.2,2,0.923445679
33:09.8,42.6232,13.2148,9.8,3.4,0.933445679
34:13.2,42.7408,13.1615,10.2,2.6,0.943445679
38:09.8,42.6287,13.2225,9.5,3.4,0.953445679
39:33.6,42.7225,13.1642,10.4,2.2,0.963445679
40:18.8,42.791,13.1578,8.4,2.3,0.973445679
43:18.3,42.6222,13.2353,10.9,2.6,0.983445679
44:10.8,42.6843,13.2392,10.1,2.6,0.993445679
44:38.9,42.7322,13.1773,8.3,3.5,0.003445679
46:09.4,42.7827,13.1637,9.9,3.2,0.013445679
47:26.2,42.8077,13.1422,6.9,2.5,0.023445679
50:27.1,42.7717,13.2112,6.7,2.2,0.033445679
51:20.7,42.6292,13.3037,6.3,2,0.043445679
51:56.2,42.8025,13.2303,9.6,2.4,0.053445679
52:45.3,42.7257,13.1757,10.5,3,0.063445679
53:23.4,42.7432,13.2455,7.5,2.2,0.073445679
55:19.0,42.6005,13.2832,7.2,3,0.083445679
57:37.2,42.8502,13.0405,7.6,3.5,0.093445679
59:16.7,42.7122,13.2183,9.9,2.9,0.103445679
59:53.4,42.6777,13.2977,6.4,2.8,0.113445679
01:13.8,42.776,13.1603,9.8,2.7,0.123445679
02:24.6,42.4623,13.2928,9.6,3.4,0.133445679
03:35.3,42.5988,13.2735,16.6,2.3,0.143445679
04:42.3,42.7738,13.1793,9.8,2.5,0.153445679
05:28.1,42.653,13.2298,12.1,2.4,0.163445679
07:58.8,42.6783,13.2107,11,2,0.173445679
08:26.1,42.8313,13.2152,9.6,2.4,0.183445679
11:31.3,42.8155,13.1742,8.3,2.4,0.193445679
12:12.4,42.7887,13.1295,9.8,2.3,0.203445679
12:39.6,42.7395,13.236,9.4,2.3,0.213445679
13:34.6,42.6412,13.2517,10.9,2.3,0.223445679
14:59.5,42.7822,13.169,8.8,2.3,0.233445679
18:39.4,42.7142,13.2478,9.5,2.8,0.243445679
20:33.3,42.8135,13.1697,10.3,2.2,0.253445679
21:42.4,42.7965,13.1952,6.2,2.4,0.263445679
22:28.9,42.7332,13.2688,10.6,2.3,0.273445679
22:42.5,42.6387,13.2282,11,2.8,0.283445679
24:00.0,42.7595,13.237,7.3,3.2,0.293445679
25:04.4,42.6373,13.2117,15.9,2.4,0.303445679
27:51.1,42.6228,13.2793,13.4,2,0.313445679
28:58.9,42.7238,13.1793,10.4,2.8,0.323445679
29:34.5,42.7528,13.1702,9.1,2.2,0.333445679
29:54.8,42.7997,13.1217,8.9,2.7,0.343445679
31:24.8,42.7835,13.1318,10.6,2.5,0.353445679
31:32.1,42.6633,13.1937,9.6,3.3,0.363445679
32:54.4,42.826,13.1448,12,2.1,0.373445679
34:39.5,42.7912,13.198,9.6,2.5,0.383445679
34:57.8,42.8257,13.1493,11.5,2.3,0.393445679
35:09.3,42.8158,13.1217,7.1,2.7,0.403445679
36:19.1,42.8012,13.1358,7.3,3.3,0.413445679
37:45.9,42.6062,13.2855,10,3,0.423445679
38:44.3,42.7113,13.204,9.6,2.3,0.433445679
39:45.4,42.8015,13.2077,8.6,2.1,0.443445679
40:09.4,42.7502,13.1842,4.7,2.3,0.453445679
40:41.2,42.6277,13.2415,11.2,2.3,0.463445679
41:43.2,42.7238,13.2732,9.9,2,0.473445679
42:51.5,42.7698,13.1683,10.8,2,0.483445679
43:03.9,42.6528,13.2987,7.8,2.4,0.493445679
43:44.1,42.8012,13.1417,9.3,2.5,0.503445679
45:35.2,42.6525,13.213,9.5,2.8,0.513445679
46:30.7,42.6813,13.2648,10.2,2.1,0.523445679
47:07.6,42.7997,13.2348,10.5,2.1,0.533445679
48:02.4,42.8208,13.2295,15.3,2,0.543445679
48:24.6,42.8032,13.1717,10.1,2.4,0.553445679
49:20.8,42.6252,13.2427,11.2,2,0.563445679
50:18.6,42.6198,13.2928,7,2.3,0.573445679
50:57.3,42.7888,13.2357,6.9,2.7,0.583445679
52:03.5,42.7518,13.2638,9.9,2.8,0.593445679
53:45.0,42.7848,13.2322,6.7,2.2,0.603445679
54:26.0,42.8495,13.1567,7.3,2.2,0.613445679
55:19.2,42.7487,13.2228,9.8,2.8,0.623445679
57:09.4,42.7968,13.1523,8.5,2,0.633445679
58:55.3,42.6192,13.2417,11.6,2.4,0.643445679
59:45.8,42.7917,13.17,11.2,2.4,0.653445679
00:45.6,42.812,13.1813,9.2,2,0.663445679
00:58.8,42.618,13.289,6.7,2.8,0.673445679
01:50.8,42.7362,13.2022,9.8,2.4,0.683445679
03:05.8,42.7487,13.1807,9.7,2.1,0.693445679
04:36.6,42.8235,13.2328,8,2.3,0.703445679
05:11.7,42.637,13.2608,9.8,2.3,0.713445679
06:15.7,42.6043,13.2285,10,2.3,0.723445679
06:22.0,42.7082,13.2275,8.9,2.2,0.733445679
07:54.4,42.7457,13.2258,8.7,2.5,0.743445679
09:07.6,42.7557,13.1452,5.9,2.5,0.753445679
10:37.4,42.7558,13.236,11.1,2,0.763445679
11:34.7,42.7,13.1887,8.1,3,0.773445679
12:55.1,42.8003,13.159,8.6,2.4,0.783445679
13:19.4,42.7508,13.1993,8.9,2.1,0.793445679
14:10.7,42.7368,13.2267,10.1,2.4,0.803445679
14:48.4,42.7928,13.1868,9,2.3,0.813445679
15:20.4,42.6113,13.3187,8,2,0.823445679
15:33.0,42.6303,13.2373,11.1,2.7,0.833445679
17:21.8,42.8173,13.1315,6.3,2.3,0.843445679
18:19.5,42.7557,13.186,8,2.7,0.853445679
19:19.2,42.4938,13.2827,11.1,2.4,0.863445679
19:43.1,42.8013,13.1377,5.1,2.6,0.873445679
20:54.9,42.7927,13.1888,8.9,2.3,0.883445679
21:35.6,42.8012,13.1935,7.4,2.7,0.893445679
25:12.6,42.7992,13.1833,8.3,2.1,0.903445679
27:00.4,42.8047,13.1672,7.4,3.2,0.913445679
35:01.6,42.796,13.1673,7.5,2.6,0.923445679
36:30.0,42.802,13.1488,8.3,2.6,0.933445679
39:15.1,42.9745,13.1423,8.7,2.4,0.943445679
39:48.7,42.772,13.2267,6.5,2.7,0.953445679
40:26.7,42.6962,13.1193,11,2.1,0.963445679
41:15.8,42.79,13.2298,8.1,2.2,0.111445679
42:38.0,42.5765,13.2418,16.6,2.4,0.111445679
44:01.7,42.7915,13.1553,7.8,2.1,0.111445679
44:51.4,42.7838,13.1893,9.5,2,0.111455679
45:10.0,42.8117,13.1532,7.2,2.6,0.111465679
45:24.4,42.7292,13.158,10.3,2.2,0.111475679
46:47.5,42.8187,13.1638,10.6,2.2,0.111485679
47:42.0,42.8955,13.1753,9.8,2,0.111495679
51:30.8,42.741,13.2388,7.4,2.4,0.111505679
52:37.2,42.765,13.2245,6.7,2.3,0.111515679
54:54.3,42.7993,13.1863,8.8,3.2,0.111525679
59:37.4,42.8038,13.1625,10,2.7,0.111535679
59:45.4,42.8218,13.2433,11.4,2.8,0.111545679
00:53.7,42.6783,13.2342,9.3,2.3,0.111555679
01:49.8,42.8145,13.1635,10,2.3,0.111565679
02:41.1,42.7997,13.1553,10,2.1,0.111575679
03:58.1,42.868,13.1327,6.4,2.2,0.111585679
04:59.1,42.8162,13.1947,10.2,2,0.111595679
06:01.8,42.7692,13.1812,9.5,2.2,0.111605679
07:01.4,42.6045,13.2405,10.5,2.9,0.111615679
08:33.2,42.7917,13.2307,7.3,2.1,0.111625679
08:58.7,42.6883,13.2893,10.2,2.5,0.111635679
10:03.7,42.7763,13.1523,9.4,3.6,0.111645679
10:55.4,42.7765,13.1582,9.4,3.2,0.111655679
13:00.5,42.6075,13.2792,10.5,2.3,0.111665679
14:02.9,42.8302,13.2382,10.1,2,0.111675679
18:35.0,42.7308,13.1875,9.9,2.4,0.111685679
19:35.5,42.7248,13.2218,9.8,2,0.111695679
21:22.8,42.7252,13.2073,9,2.1,0.111705679
23:08.8,42.788,13.1978,8.8,2.9,0.111715679
23:28.2,42.718,13.187,8.6,3.3,0.111725679
24:49.2,42.7118,13.1767,10.6,2.5,0.111735679
25:02.8,42.712,13.221,5.5,3.1,0.111745679
26:57.4,42.7873,13.1525,7.5,2.4,0.111755679
28:25.3,42.7007,13.1323,10.5,2.8,0.111765679
28:54.5,42.7963,13.2013,7.6,2.5,0.111775679
29:52.0,42.7258,13.2413,9.4,2.3,0.111785679
30:25.9,42.7558,13.1568,7,2.1,0.111795679
32:48.7,42.8403,13.1097,7,2,0.111805679
35:43.4,42.7793,13.1533,11,2.5,0.111815679
38:59.5,42.6148,13.3228,7.2,2,0.111825679
39:13.4,42.7145,13.2475,9.6,2.4,0.111835679
43:31.9,42.7683,13.2387,10.3,2,0.111845679
44:23.0,42.729,13.2907,10.9,2.2,0.111855679
45:19.0,42.679,13.1515,13.3,2,0.111865679
45:37.2,42.7143,13.2598,9.6,2.7,0.111875679
46:12.9,42.7845,13.1152,11,2.1,0.111885679
47:57.7,42.7382,13.2208,10.8,2.5,0.111895679
48:08.5,42.7708,13.1922,10.2,3.1,0.111905679
49:13.9,42.7337,13.2213,8.1,2,0.111915679
49:38.7,42.7755,13.228,10.4,2.1,0.111925679
50:25.0,42.6373,13.2517,12.5,2.2,0.111935679
50:57.9,42.6493,13.2303,10.6,2.1,0.111945679
52:17.1,42.6228,13.2935,6.7,3.2,0.111955679
53:01.4,42.8067,13.1682,9.6,3.3,0.111965679
55:03.3,42.7977,13.2113,9.8,2.3,0.111975679
55:22.8,42.8108,13.1648,9.5,2.8,0.111985679
57:49.0,42.641,13.3125,10.8,2,0.111995679
00:55.8,42.7293,13.2118,9,2.9,0.112005679
01:58.4,42.776,13.185,10.1,2.9,0.112015679
02:55.2,42.7923,13.2317,6.8,2.9,0.112025679
19:27.3,42.7372,13.1623,10.7,2.3,0.112035679
19:53.1,42.6372,13.3038,7.3,2.5,0.112045679
30:38.1,42.7973,13.1928,9.6,2.7,0.112055679
37:07.5,42.7573,13.1898,10.4,2.3,0.112065679
38:10.2,42.703,13.2527,13.8,2.5,0.112075679
39:05.1,42.8133,13.1942,14.8,2.7,0.112085679
49:02.2,42.7573,13.1685,10.3,2.4,0.112095679
52:09.6,42.754,13.2168,3.7,2.1,0.112105679
55:33.3,42.8265,13.2725,6.7,3.1,0.112115679
56:38.2,42.7848,13.1368,10,2.8,0.112125679
58:51.3,42.7575,13.1775,10.4,2.7,0.112135679
00:30.6,42.821,13.1627,9.6,2.4,0.112145679
02:58.8,42.8187,13.195,10.3,3.2,0.112155679
04:37.8,42.8112,13.1953,10.2,2.9,0.112165679
05:09.9,42.6535,13.2667,11.8,2.6,0.112175679
09:46.3,42.7627,13.1783,10.5,2.2,0.112185679
13:30.2,42.8063,13.2003,9.1,2.1,0.112195679
15:01.0,42.7735,13.1618,10.2,2.5,0.112205679
23:09.1,42.7623,13.1373,12.9,2.1,0.112215679
25:32.4,42.8118,13.1832,9.3,2.4,0.112225679
28:08.4,42.4708,13.2475,12.4,2.8,0.112235679
31:43.3,42.8123,13.1923,9.5,3.4,0.112245679
33:13.2,42.8173,13.1933,10.6,2.5,0.112255679
36:50.1,42.4798,13.2378,12.8,2,0.112265679
39:12.5,42.7282,13.2497,9.2,2.2,0.112275679
41:15.2,42.8212,13.1668,9.9,2.9,0.112285679
43:48.0,42.6618,13.2958,9,3.1,0.112295679
45:54.9,42.6097,13.2858,14.4,2.5,0.112305679
48:27.9,42.6102,13.2018,15.2,2.2,0.112315679
49:58.0,42.6372,13.2422,10.8,2.2,0.112325679
53:17.7,42.7807,13.1998,10.8,2.3,0.112335679
56:05.6,42.8167,13.1812,5.7,2.2,0.112345679
00:40.6,42.7102,13.2357,4.2,2.4,0.112355679
01:27.7,42.7925,13.2128,9.7,2.3,0.112365679
06:41.6,42.7437,13.1793,10.5,3.2,0.112375679
09:26.4,42.6535,13.3092,15.8,3.1,0.112385679
11:19.5,42.7883,13.18,7.1,2.2,0.112395679
15:10.8,42.716,13.219,9.6,3,0.112405679
19:15.4,42.7392,13.236,8,2.5,0.112415679
22:43.3,42.7562,13.1177,8.2,2.8,0.112425679
28:59.0,42.7567,13.119,6,2.7,0.112435679
32:42.7,42.603,13.2325,11,3,0.112445679
36:45.3,42.7198,13.2137,15.1,2.2,0.112455679
41:16.7,42.7523,13.1072,7.1,2.1,0.112465679
42:41.9,42.8175,13.1602,9.9,2.1,0.112475679
44:48.1,42.7423,13.2328,15.9,2.7,0.112485679
52:34.2,42.8225,13.2377,7.1,2.8,0.112495679
57:16.5,42.6238,13.2363,11.1,2.3,0.112505679
05:42.5,42.6432,13.2282,2.4,2.8,0.112515679
06:48.4,42.8067,13.1563,10.4,2.3,0.112525679
09:51.9,42.8257,13.2152,9.3,2.1,0.112535679
12:58.0,42.7135,13.1822,15.6,2,0.112545679
20:32.2,42.7632,13.2063,16.6,2,0.112555679
23:58.4,42.7652,13.1663,10.2,2.7,0.112565679
24:50.6,42.6443,13.2522,11.8,2.3,0.112575679
28:52.5,42.7477,13.2557,10.9,2.5,0.112585679
31:53.4,42.7458,13.1927,10.9,3.1,0.112595679
34:20.9,42.7387,13.1668,11,2.3,0.112605679
36:26.7,42.8203,13.1613,9.8,2.7,0.112615679
37:40.4,42.8063,13.2233,9.1,2.7,0.112625679
40:15.7,42.7358,13.1957,10.4,2.9,0.112635679
50:30.6,42.8197,13.1602,9.8,4.5,0.112645679
59:59.8,42.8332,13.1435,10.2,3.5,0.112655679
01:48.4,42.8243,13.1705,8.8,3,0.112665679
06:09.3,42.8347,13.1507,10.3,3.6,0.112675679
13:27.0,42.8282,13.1538,9.7,2.9,0.112685679
18:27.0,42.8207,13.1248,7.8,3.4,0.112695679
22:53.3,42.8053,13.2087,9.1,2.4,0.112705679
42:10.4,42.8352,13.2543,7,2.7,0.112715679
43:42.0,42.8363,13.2518,8.6,2.3,0.112725679
00:26.8,42.8213,13.1547,9.7,2.8,0.112735679
05:11.3,42.748,13.2242,8.8,2.3,0.112745679
12:09.0,42.8047,13.2592,7.8,2.9,0.112755679
20:03.6,42.8192,13.2235,7.8,2.8,0.112765679
23:51.1,42.8095,13.243,7.3,2.6,0.112775679
25:33.2,42.835,13.1613,9.8,2.3,0.112785679
31:53.2,42.7867,13.2115,6.8,2.3,0.112795679
33:13.6,42.6888,13.3113,5.5,3.1,0.112805679
38:27.5,42.7858,13.1497,9.7,2.2,0.112815679
49:40.9,42.6115,13.3178,10.1,2.6,0.112825679
55:01.9,42.6073,13.2627,11.1,2.5,0.112835679
55:41.1,42.7845,13.1757,7.3,2.7,0.112845679
57:09.2,42.7723,13.1872,9.5,2.5,0.112855679
59:29.4,42.6603,13.2013,10.4,2.3,0.112865679
02:20.8,42.7997,13.2403,8.3,3.8,0.112875679
03:30.2,42.801,13.179,10,3.2,0.112885679
25:59.5,42.7998,13.1488,9.8,2.5,0.112895679
28:45.6,42.8093,13.1982,9.6,2.7,0.112905679
39:44.8,42.8048,13.2123,9.1,2.6,0.112915679
45:10.4,42.7288,13.1973,8.5,3.2,0.112925679
52:11.1,42.793,13.175,8.8,2.1,0.112935679
02:21.1,42.6313,13.3142,9.8,2.7,0.112945679
08:23.2,42.6887,13.2167,11,2.3,0.112955679
09:06.6,42.8067,13.1937,8.3,2.2,0.112965679
20:26.1,42.6477,13.2182,12,2.1,0.112975679
39:27.8,42.7973,13.2405,8.9,3.1,0.112985679
34:47.3,42.7352,13.2375,9.4,3.1,0.112995679
37:11.3,42.765,13.1537,9.1,2.5,0.113005679
39:53.0,42.7247,13.2032,8.6,2.7,0.113015679
54:29.7,42.6207,13.2848,7.1,2.6,0.113025679
57:21.9,42.665,13.3062,7.3,2.6,0.113035679
04:00.0,42.6152,13.32,5.9,2,0.113045679
16:42.6,42.6208,13.2512,11.4,2.5,0.113055679
27:01.5,42.8183,13.228,9.1,2.2,0.113065679
29:53.2,42.6055,13.2763,10.4,2.9,0.113075679
37:08.3,42.803,13.1897,6.1,2.7,0.113085679
38:00.4,42.8012,13.2493,7.5,3,0.113095679
46:09.5,42.6587,13.2147,10.3,4.2,0.113105679
49:56.8,42.7593,13.2487,7.8,2.5,0.113115679
50:54.6,42.7388,13.1952,9.9,2.4,0.113125679
54:34.5,42.6182,13.2412,11.2,2.7,0.113135679
55:23.2,42.8043,13.2458,8.7,2.9,0.113145679
56:16.5,42.7968,13.2312,9.3,2.9,0.113155679
06:44.6,42.816,13.1483,10.5,2.2,0.113165679
08:03.8,42.845,13.1123,8.4,2.7,0.113175679
12:20.5,42.6875,13.1873,9.5,2.1,0.113185679
18:52.2,42.7437,13.2648,9.6,2.1,0.113195679
36:06.9,42.6887,13.166,10.2,3.1,0.113205679
37:53.5,42.6517,13.2262,10.5,2.7,0.113215679
39:31.1,42.7035,13.1647,10.3,2.1,0.113225679
42:30.1,42.7757,13.1663,10,3.1,0.113235679
